Athlete_Name_Lower,Original_Name,Age,Gender,ISG_Sports,ISG_Medal_G,ISG_Medal_S,ISG_Medal_B,ISG_Medal_Events
abdulaziz al jadani,Abdulaziz AL JADANI,29,Men,Athletics / Para Athletics,1,0,0,Para Athletics:Athletics / Para Athletics Men's 4 x 100m Relay(G)
abdulaziz altuwaijri,Abdulaziz Altuwaijri,17,Men,Fencing,0,0,0,
abdulaziz atafi,Abdulaziz ATAFI,24,Men,Athletics / Para Athletics,1,2,0,Para Athletics:Athletics / Para Athletics Men's 4 x 100m Relay(G); Athletics:Men's 100m(S); Athletics:Men's 200m(S)
abdulaziz bu shulaybi,Abdulaziz Bu Shulaybi,28,Men,Table Tennis,0,0,1,Table Tennis:Men´s Doubles(B)
abdulghani al ali,Ali AL ABDULGHANI,30,Men,Athletics / Para Athletics,0,0,0,
abdulilah alotaibi,Abdulilah Alotaibi,33,Men,Futsal,0,0,0,
abduljawad sarah,Sarah Abduljawad,29,Women,Wushu,0,0,0,
abdullah alaqeeli,Abdullah Alaqeeli,29,Men,Futsal,0,0,0,
abdullah alhammad,Abdullah Alhammad,35,Men,Handball,0,1,0,Handball:Handball Men(S)
abdullah alhulaili,Abdullah Alhulaili,31,Men,Handball,0,1,0,Handball:Handball Men(S)
abdullah almaghrabi,Abdullah Almaghrabi,28,Men,Futsal,0,0,0,
abdullah almansaf,Abdullah Almansaf,21,Men,Fencing,0,0,0,
abdullah almushraf,abdullah almushraf,,,,0,1,0,Taekwondo:Men Under 54kg(S)
abdullah alqumizi,Abdullah Alqumizi,21,Men,Taekwondo,0,0,0,
abdullah darkazanly,Abdullah Darkazanly,24,Men,Boxing,0,0,0,
abdullah hammad,Abdullah Hammad,28,Men,Judo,0,0,0,
abdullah mohammed,Abdullah MOHAMMED,28,Men,Athletics / Para Athletics,2,0,0,Para Athletics:Athletics / Para Athletics Men's 4 x 100m Relay(G); Para Athletics:Athletics / Para Athletics Men's 4 x 100m Relay(G)
abdullah nada,Abdullah Nada,18,Men,Jiu Jitsu,1,0,0,Jiu Jitsu:Men -85 kg(G)
