Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL,Rank_Original,Rank_Std
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471,,
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472,,
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474,,
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0478,,
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0481,,
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0484,,
Saudi Arabia (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0096,,
Saudi Arabia (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0099,,
Saudi Arabia (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 7 - رجال تمهيدي - المباراة 7,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0100,,
Saudi Arabia (Team),Handball,2026-05-22,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Qualification,Men,,,0,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0103,,Q
