Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL,Rank_Original,Rank_Std
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Women,,3,16.86,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0025,3,3
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Women,,1,15.60,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0025,1,1
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Women,,2,1.45,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0077,2,2
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Women,,3,1.39,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0077,3,3
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Women,,3,8.71,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0716,3,3
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Women,,2,9.59,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0716,2,2
Hussain Alhizam,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,2,5.50,S,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717,2,2
Mohammed Alqudaihi,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,3,5,B,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717,3,3
Ahmed Altaruti,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s High Jump,الوثب العالي رجال,Final,Men,,3,2.09,B,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0722,3,3
Faisal Maghrabi,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 800 Metres,800 متر رجال,Final,Men,,4,1:49.22,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0723,4,4
Musaad Alsubaie,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 800 Metres,800 متر رجال,Final,Men,,5,1:49.71,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0723,5,5
Mohammed Tolu,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Shot Put,دفع الجلة رجال,Final,Men,,1,19.21,G,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0724,1,1
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 200 Metres,200 متر سيدات,Heptathlon,Women,,2,27.22,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0726,2,2
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 200 Metres,200 متر سيدات,Heptathlon,Women,,3,28.95,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0726,3,3
Hebah Omar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres,100 متر سيدات,Final,Women,,4,11.97,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0727,4,4
Lujain Alhumaid,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres,100 متر سيدات,Final,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0727,,F
Abdullah Mohammed,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 100 Metres,100 متر رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0728,,F
Abdulaziz Atafi,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 100 Metres,100 متر رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0728,,F
Sarah Alhilal,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Heptathlon,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0729,,
Mariam Almatar,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Heptathlon,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0729,,
Mariam Almatar,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s Javelin Throw,رمي الرمح سيدات,Heptathlon,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0730,,
Sarah Alhilal,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s Javelin Throw,رمي الرمح سيدات,Heptathlon,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0730,,
Mohammed Aldubaisi,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Hammer Throw,رمي المطرقة رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0732,,F
Sami Bakheet,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0733,,F
Ahmed Altaruti,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Long Jump,الوثب الطويل رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0733,,F
Ali Abdelghani,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Javelin Throw,رمي الرمح رجال,Final,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0737,,F
Mariam Almatar,Athletics,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Women’s 800 Metres,800 متر سيدات,Heptathlon,Women,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0738,,
