Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 1 - سيدات تمهيدي - المباراة 1,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0120
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 1 - سيدات تمهيدي - المباراة 1,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0120
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 2 - سيدات تمهيدي - المباراة 2,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0121
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 2 - سيدات تمهيدي - المباراة 2,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0121
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 3 - سيدات تمهيدي - المباراة 3,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0122
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 3 - سيدات تمهيدي - المباراة 3,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0122
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 4 - رجال تمهيدي - المباراة 4,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0123
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 4 - رجال تمهيدي - المباراة 4,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0123
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 5 - رجال تمهيدي - المباراة 5,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0124
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 5 - رجال تمهيدي - المباراة 5,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0124
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 6 - سيدات تمهيدي - المباراة 6,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0125
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 6 - سيدات تمهيدي - المباراة 6,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0125
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 7 - سيدات تمهيدي - المباراة 7,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0126
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 7 - سيدات تمهيدي - المباراة 7,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0126
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 8 - سيدات تمهيدي - المباراة 8,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0127
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 8 - سيدات تمهيدي - المباراة 8,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0127
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 9 - رجال تمهيدي - المباراة 9,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0128
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 9 - رجال تمهيدي - المباراة 9,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0128
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 10 - رجال تمهيدي - المباراة 10,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0129
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary - Match 10 - رجال تمهيدي - المباراة 10,Men,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0129
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 11 - سيدات تمهيدي - المباراة 11,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0130
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 11 - سيدات تمهيدي - المباراة 11,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0130
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 12 - سيدات تمهيدي - المباراة 12,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0131
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 12 - سيدات تمهيدي - المباراة 12,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0131
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 13 - سيدات تمهيدي - المباراة 13,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0132
,Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary - Match 13 - سيدات تمهيدي - المباراة 13,Women,,,,,,,Scheduled,,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0132
