Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Mabrook Jahzah,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 5000m Race Walk,5000 متر مشي رجال,Final,Men,,1,24:21.75,G,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0021
Ayoob SARWASHI,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 5000m Race Walk,5000 متر مشي رجال,Final,Men,,3,34:13.80,B,,,,,,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0021
Issa Ahmed,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s 5000m Race Walk,5000 متر مشي رجال,Final,Men,,2,32:27.68,S,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0021
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Women,,3,16.86,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0025
Aljazi Farhan,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Women,,2,16.08,,,,,,,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0025
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Women,,1,15.60,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0025
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Women,,2,1.45,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0077
Aljazi Farhan,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Women,,1,1.45,,,,,,,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0077
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Women,,3,1.39,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0077
Sarah Alhilal,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Women,,3,8.71,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0716
Aljazi Farhan,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Women,,1,10.17,,,,,,,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0716
Mariam Almatar,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Women,,2,9.59,,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0716
Hussain Alhizam,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,2,5.50,S,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717
Zakaria Ibrahim,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,4,4.60,,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717
Mohammed Alqudaihi,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,3,5,B,,,,,,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717
Seifeldin Abdelsalam,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Pole Vault,القفز بالزانة رجال,Final,Men,,1,5.55,G,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0717
Shahd Mohamed,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100M Hurdles,100 متر حواجز سيدات,Final,Women,,3,22.53,B,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0718
Aljazi Farhan,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100M Hurdles,100 متر حواجز سيدات,Final,Women,,2,16.21,S,,,,,,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0718
Sara Ali,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s 100M Hurdles,100 متر حواجز سيدات,Final,Women,,1,13.87,G,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0718
Shahd Mohamed,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,,4,4.60,,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0719
Mazoon Al Alawi,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,,1,5.72,G,,,,,,Official,OMA,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0719
Aisha Alkhedher,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,,2,5.53,S,,,,,,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0719
Salma Almarri,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,,,,,,,,,,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0719
Salma Hamid,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,,3,4.88,B,,,,,,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0719
Salma Almarri,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Discus Throw,رمي القرص سيدات,Final,Women,,3,44.08,B,,,,,,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0720
Noora Jasim,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Discus Throw,رمي القرص سيدات,Final,Women,,2,44.43,S,,,,,,Official,BRN,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0720
Fatima Alhosani,Athletics,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Women’s Discus Throw,رمي القرص سيدات,Final,Women,,1,48.37,G,,,,,,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/athletics/COM-2026-0720
