Given Name,Family Name,Sport,Event,Reason
Sarah,Alablan,Athletics,Women's 4 x 100m Relay,no schedule match
Sarah,Alhilal,Athletics,Women's 4 x 100m Relay,no schedule match
Hussain,Alhizam,Athletics,Men's Pole Vault,no schedule match
Lujain,Alhumaid,Athletics,Women's 100m,no schedule match
Lujain,Alhumaid,Athletics,Women's 200m,no schedule match
Lujain,Alhumaid,Athletics,Women's 4 x 100m Relay,no schedule match
Abdulaziz,Aljadani,Athletics,Men's 4 x 100m Relay,no schedule match
Mohammed,Alqudaihi,Athletics,Men's Pole Vault,no schedule match
Musaad,Alsubaie,Athletics,Men's 800m,no schedule match
Fayez,Alsubaie,Athletics,Men's 1500m,no schedule match
Abdulaziz,Atafi,Athletics,Men's 100m,no schedule match
Abdulaziz,Atafi,Athletics,Men's 4 x 100m Relay,no schedule match
Abdulaziz,Atafi,Athletics,Men's 200m,no schedule match
Faisal,Maghrabi,Athletics,Men's 800m,no schedule match
Abdullah,Mohammed,Athletics,Men's 100m,no schedule match
Abdullah,Mohammed,Athletics,Men's 200m,no schedule match
Abdullah,Mohammed,Athletics,Men's 4 x 100m Relay,no schedule match
Nasser,Mohammed,Athletics,Men's 4 x 100m Relay,no schedule match
Huda,Omar,Athletics,Women's 4 x 100m Relay,no schedule match
Hebah,Omar,Athletics,Women's 4 x 100m Relay,no schedule match
Hebah,Omar,Athletics,Women's 200m,no schedule match
Hebah,Omar,Athletics,Women's 100m,no schedule match
Areen,Tulbah,Athletics,Women's 4 x 100m Relay,no schedule match
Awrad,Alfalh,3x3 Basketball,Women's Team,no schedule match
Hazim,Aljohar,3x3 Basketball,Men's Team,no schedule match
Ahmed,Almukhtar,3x3 Basketball,Men's Team,no schedule match
Rand,Alnuwaiser,3x3 Basketball,Women's Team,no schedule match
Manaf,Alsalem,3x3 Basketball,Men's Team,no schedule match
Saad,Alsuaiei,3x3 Basketball,Men's Team,no schedule match
Jana,Balgaith,3x3 Basketball,Women's Team,no schedule match
Kawther,Khayyat,3x3 Basketball,Women's Team,no schedule match
Abdullah,Abdullah,Equestrian,Individual Competition (Height 1.45m),no schedule match
Abdullah,Abdullah,Equestrian,Team Competition (Height 1.45m),no schedule match
Saad,Alajmi,Equestrian,Individual Competition (Height 1.45m),no schedule match
Saad,Alajmi,Equestrian,Team Competition (Height 1.45m),no schedule match
Salman,Alajmi,Equestrian,Individual Competition (Height 1.45m),no schedule match
Salman,Alajmi,Equestrian,Team Competition (Height 1.45m),no schedule match
Mansour,Alsaud,Equestrian,Individual Competition (Height 1.45m),no schedule match
Mansour,Alsaud,Equestrian,Team Competition (Height 1.45m),no schedule match
Jehad,Abualwah,Handball,Men's Team,no schedule match
Mohammed,Alabas,Handball,Men's Team,no schedule match
