Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-17,10:00:00,Archery,Official Training – Recurve & Compound,التدريب الرسمي - القوس الأولمبي والمركب,Training,Mixed,Lusail Shooting Range,,COM-2026-0437,https://gccgames.qa/frontend/schedule-competition
2026-05-18,10:00:00,Archery,Individual Qualification – Recurve & Compound,الدور التأهيلي فردي - القوس الأولمبي والمركب,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0438,https://gccgames.qa/frontend/schedule-competition
2026-05-19,9:30:00,Archery,Team Qualification – Recurve & Compound,الدور التأهيلي فرق - القوس الأولمبي والمركب,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0439,https://gccgames.qa/frontend/schedule-competition
2026-05-19,11:30:00,Archery,Mixed Team Qualification – Recurve & Compound,الدور التأهيلي فرق مختلط - القوس الأولمبي والمركب,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0440,https://gccgames.qa/frontend/schedule-competition
2026-05-20,9:30:00,Archery,Individual Qualification – Recurve & Compound,الدور التأهيلي فردي - القوس الأولمبي والمركب,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0441,https://gccgames.qa/frontend/schedule-competition
2026-05-21,9:30:00,Archery,Compound Finals – Individual & Team,نهائيات القوس المركب فردي وفرق,Final,Mixed,Lusail Shooting Range,,COM-2026-0442,https://gccgames.qa/frontend/schedule-competition
2026-05-21,14:00:00,Archery,Recurve Finals – Individual & Team,نهائيات القوس الأولمبي فردي وفرق,Final,Mixed,Lusail Shooting Range,,COM-2026-0443,https://gccgames.qa/frontend/schedule-competition
2026-05-14,8:30:00,Athletics,Men’s 5000m Race Walk,5000 متر مشي رجال,Final,Men,Qatar Sports Club,,COM-2026-0021,https://gccgames.qa/frontend/schedule-competition
2026-05-14,9:00:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0022,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:15:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0023,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:00:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0024,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:10:00,Athletics,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Final,Women,Qatar Sports Club,,COM-2026-0025,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:15:00,Athletics,Women’s Long Jump,الوثب الطويل سيدات,Final,Women,Qatar Sports Club,,COM-2026-0026,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:20:00,Athletics,Women’s Discus Throw,قذف القرص سيدات,Final,Women,Qatar Sports Club,,COM-2026-0027,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:25:00,Athletics,Men’s 100 Metres,100 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0028,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:30:00,Athletics,Men’s High Jump,الوثب العالي رجال,Final,Men,Qatar Sports Club,,COM-2026-0029,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:35:00,Athletics,Women’s 100 Metres,100 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0030,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:50:00,Athletics,Men’s 400 Metres,400 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0031,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Athletics,Men’s Shot Put,دفع الجلة رجال,Final,Men,Qatar Sports Club,,COM-2026-0032,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:10:00,Athletics,Women’s 400 Metres,400 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0033,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:30:00,Athletics,Men’s 800 Metres,800 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0034,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:40:00,Athletics,Women’s 800 Metres,800 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0035,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:45:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0036,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:00:00,Athletics,Men’s 3000m Steeplechase,3000 متر موانع رجال,Final,Men,Qatar Sports Club,,COM-2026-0037,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:30:00,Athletics,Women’s 10000 Metres,10000 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0038,https://gccgames.qa/frontend/schedule-competition
2026-05-14,20:05:00,Athletics,Men’s 100 Metres,100 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0039,https://gccgames.qa/frontend/schedule-competition
2026-05-14,20:15:00,Athletics,Women’s 100 Metres,100 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0040,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:00:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0041,https://gccgames.qa/frontend/schedule-competition
2026-05-15,10:00:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0042,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:00:00,Athletics,Women’s Pole Vault,القفز بالزانة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0043,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:05:00,Athletics,Women’s Hammer Throw,إطاحة المطرقة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0044,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:10:00,Athletics,Men’s 110 Metres Hurdles,110 متر حواجز رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0045,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:15:00,Athletics,Men’s Long Jump,الوثب الطويل رجال,Final,Men,Qatar Sports Club,,COM-2026-0046,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:25:00,Athletics,Men’s 400 Metres Hurdles,400 متر حواجز رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0047,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:40:00,Athletics,Women’s 400 Metres Hurdles,400 متر حواجز سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0048,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:55:00,Athletics,Men’s 400 Metres,400 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0049,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:10:00,Athletics,Women’s 400 Metres,400 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0050,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:15:00,Athletics,Men’s Javelin Throw,رمي الرمح رجال,Final,Men,Qatar Sports Club,,COM-2026-0051,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:20:00,Athletics,Men’s 110 Metres Hurdles,110 متر حواجز رجال,Final,Men,Qatar Sports Club,,COM-2026-0052,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:25:00,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0053,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:40:00,Athletics,Men’s 10000 Metres,10000 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0054,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:25:00,Athletics,Men’s 4x100 Metres Relay,4×100 متر تتابع رجال,Final,Men,Qatar Sports Club,,COM-2026-0055,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:45:00,Athletics,Women’s 4x100 Metres Relay,4×100 متر تتابع سيدات,Final,Women,Qatar Sports Club,,COM-2026-0056,https://gccgames.qa/frontend/schedule-competition
2026-05-16,9:00:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0057,https://gccgames.qa/frontend/schedule-competition
2026-05-16,9:30:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0058,https://gccgames.qa/frontend/schedule-competition
2026-05-16,10:45:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0059,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:00:00,Athletics,Men’s Decathlon,العشاري رجال,Final,Men,Qatar Sports Club,,COM-2026-0060,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:05:00,Athletics,Women’s Triple Jump,الوثب الثلاثي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0061,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:10:00,Athletics,Men’s Hammer Throw,إطاحة المطرقة رجال,Final,Men,Qatar Sports Club,,COM-2026-0062,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:15:00,Athletics,Men’s 400 Metres Hurdles,400 متر حواجز رجال,Final,Men,Qatar Sports Club,,COM-2026-0063,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:30:00,Athletics,Women’s 400 Metres Hurdles,400 متر حواجز سيدات,Final,Women,Qatar Sports Club,,COM-2026-0064,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:40:00,Athletics,Men’s 200 Metres,200 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0065,https://gccgames.qa/frontend/schedule-competition
