Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Status,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-17,10:00:00,14:00:00,240,Archery,Official Training – Recurve & Compound,التدريب الرسمي - القوس الأولمبي والمركب,Training,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0437,https://gccgames.qa/frontend/schedule-competition
2026-05-18,10:00:00,16:00:00,360,Archery,Individual Qualification – Recurve & Compound,الدور التأهيلي فردي - القوس الأولمبي والمركب,Qualification,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0438,https://gccgames.qa/frontend/schedule-competition
2026-05-19,9:30:00,15:30:00,360,Archery,Team Qualification – Recurve & Compound,الدور التأهيلي فرق - القوس الأولمبي والمركب,Qualification,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0439,https://gccgames.qa/frontend/schedule-competition
2026-05-19,11:30:00,17:30:00,360,Archery,Mixed Team Qualification – Recurve & Compound,الدور التأهيلي فرق مختلط - القوس الأولمبي والمركب,Qualification,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0440,https://gccgames.qa/frontend/schedule-competition
2026-05-20,9:30:00,15:30:00,360,Archery,Individual Qualification – Recurve & Compound,الدور التأهيلي فردي - القوس الأولمبي والمركب,Qualification,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0441,https://gccgames.qa/frontend/schedule-competition
2026-05-21,9:30:00,12:30:00,180,Archery,Compound Finals – Individual & Team,نهائيات القوس المركب فردي وفرق,Final,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0442,https://gccgames.qa/frontend/schedule-competition
2026-05-21,14:00:00,17:00:00,180,Archery,Recurve Finals – Individual & Team,نهائيات القوس الأولمبي فردي وفرق,Final,Scheduled,Mixed,Lusail Shooting Range,,COM-2026-0443,https://gccgames.qa/frontend/schedule-competition
2026-05-14,7:00:00,07:25:00,25,Athletics,Men’s 5000m Race Walk,5000 متر مشي رجال,Final,Official,Men,Qatar Sports Club,"QAT,UAE",COM-2026-0021,https://gccgames.qa/frontend/schedule-competition
2026-05-14,8:00:00,08:45:00,45,Athletics,Women’s 100 Metres Hurdles,100 متر حواجز سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0025,https://gccgames.qa/frontend/schedule-competition
2026-05-14,8:30:00,09:15:00,45,Athletics,Women’s High Jump,الوثب العالي سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0077,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:30:00,19:15:00,45,Athletics,Women’s Shot Put,دفع الجلة سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0716,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:35:00,21:35:00,180,Athletics,Men’s Pole Vault,القفز بالزانة رجال,Final,Official,Men,Qatar Sports Club,"KSA,QAT",COM-2026-0717,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:40:00,20:16:00,96,Athletics,Women’s 100M Hurdles,100 متر حواجز سيدات,Final,Official,Women,Qatar Sports Club,"KUW,QAT",COM-2026-0718,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:45:00,20:15:00,90,Athletics,Women’s Long Jump,الوثب الطويل سيدات,Final,Official,Women,Qatar Sports Club,"KUW,OMA,QAT,UAE",COM-2026-0719,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:50:00,20:20:00,90,Athletics,Women’s Discus Throw,رمي القرص سيدات,Final,Official,Women,Qatar Sports Club,"BRN,UAE",COM-2026-0720,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:55:00,20:31:00,96,Athletics,Women’s 800 Metres,800 متر سيدات,Final,Official,Women,Qatar Sports Club,"BRN,KUW,QAT,UAE",COM-2026-0721,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:00:00,21:00:00,120,Athletics,Men’s High Jump,الوثب العالي رجال,Final,Official,Men,Qatar Sports Club,"BRN,KSA,KUW,OMA,QAT",COM-2026-0722,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:05:00,20:41:00,96,Athletics,Men’s 800 Metres,800 متر رجال,Final,Official,Men,Qatar Sports Club,"KSA,KUW,QAT,UAE",COM-2026-0723,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:15:00,20:45:00,90,Athletics,Men’s Shot Put,دفع الجلة رجال,Final,Official,Men,Qatar Sports Club,"BRN,KSA,QAT",COM-2026-0724,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:20:00,19:40:00,20,Athletics,Men’s 3000M Steeplechase,3000 متر موانع رجال,Final,Official,Men,Qatar Sports Club,QAT,COM-2026-0725,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:40:00,20:25:00,45,Athletics,Women’s 200 Metres,200 متر سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0726,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:55:00,21:31:00,96,Athletics,Women’s 100 Metres,100 متر سيدات,Final,Official,Women,Qatar Sports Club,"BRN,KSA,OMA,QAT,UAE",COM-2026-0727,https://gccgames.qa/frontend/schedule-competition
2026-05-14,20:10:00,21:46:00,96,Athletics,Men’s 100 Metres,100 متر رجال,Final,Official,Men,Qatar Sports Club,"BRN,KSA,OMA,QAT,UAE",COM-2026-0728,https://gccgames.qa/frontend/schedule-competition
2026-05-15,8:00:00,08:45:00,45,Athletics,Women’s Long Jump,الوثب الطويل سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0789,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:00:00,09:45:00,45,Athletics,Women’s Javelin Throw,رمي الرمح سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0730,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:30:00,21:30:00,180,Athletics,Women’s Pole Vault,القفز بالزانة سيدات,Final,Official,Women,Qatar Sports Club,"QAT,UAE",COM-2026-0731,https://gccgames.qa/frontend/schedule-competition
